FLEX Test #,FLEX Identifier,Test Date,Test GMT,Fuel,Ambient pressure; mmHg,O initial ambient composition; mole fraction,N initial ambient composition; mole fraction,CO initial ambient composition; mole fraction,He initial ambient composition; mole fraction,Droplet initial diameter; mm,Visible flame extinction diameter; mm,Burning rate; mm,Burn time; s,Test end
62,301F001,3/11/2010,21:37:48,Heptane,761.8,0.18,0.82,0,0,3.43,3.17,0.39,4.8,Extinction
63,301F002,3/11/2010,23:07:51,Heptane,767.6,0.18,0.81,0,0,2.15,0,0.51,9.6,Completion
64,302F001,3/11/2010,22:12:39,Heptane,764.6,0.18,0.81,0,0,2.69,2.07,0.6,5.5,Extinction
65,189R001,3/19/2010,8:42:53,Methanol,765.9,0.15,0.85,0,0,3.37,,0.4,24.3,Extinction
66,189F001,3/19/2010,9:26:45,Methanol,766.8,0.15,0.85,0,0,2.52,1.32,0.38,12.9,Extinction
67,189F002,3/19/2010,10:17:06,Methanol,767.7,0.15,0.85,0,0,3.97,3.3,0.36,14.4,Extinction
68,189R003,3/19/2010,12:04:45,Methanol,768.8,0.15,0.84,0,0,2.38,1.29,0.39,10.7,Extinction
69,193R002,3/23/2010,10:23:00,Heptane,767.1,0.14,0.84,0,0,1.1,0,0.94,1.3,Completion
70,193F001,3/23/2010,7:25:43,Heptane,761,0.15,0.84,0,0,4.67,4.6,0.41,1.6,Extinction
71,189R002,3/19/2010,11:19:22,Methanol,768.3,0.15,0.84,0,0,2.25,,0.4,8.4,Extinction
72,193R001,3/23/2010,9:06:37,Heptane,765.2,0.15,0.84,0,0,1.13,,0.52,2.5,Completion
73,193F001,3/23/2010,7:25:43,Heptane,761,0.15,0.84,0,0,4.64,4.58,0.56,1.5,Extinction
74,221F001,3/23/2010,9:44:36,Heptane,765.9,0.15,0.84,0,0,1.33,,0.77,2.3,Completion
75,203R002,3/29/2010,21:06:40,Methanol,770.8,0.13,0.85,0,0,2.54,1.78,0.37,9.1,Extinction
76,203F001,3/29/2010,19:24:36,Methanol,769.5,0.13,0.85,0,0,3.21,2.78,0.37,8.9,Extinction
77,175R001,3/29/2010,18:39:20,Methanol,768.4,0.14,0.85,0,0,3.33,2.91,0.34,8.5,Extinction
78,175F001,3/29/2010,17:49:23,Methanol,766,0.14,0.85,0,0,2.66,1.66,0.35,12.9,Extinction
79,179F001,3/30/2010,0:40:16,Heptane,768.1,0.13,0.85,0,0,2.92,2.86,0.25,1.5,Extinction
80,207F001,3/30/2010,2:29:19,Heptane,770,0.13,0.85,0,0,–,,,1,Extinction
81,207F002,3/30/2010,3:59:28,Heptane,770.2,0.13,0.85,0,0,–,,,1.5,Extinction
